Ticker,Symbol,Stock,Sector,Year,Year_as,Company_Name,COMMERCIAL,REVOLVING,TERM_LOANS,SR_BONDS_NOTES,SUB_BONDS_NOTES,CAPITAL_LEASES_TOTAL,OTHER_DEBT,TOTAL_PRINCIPAL,SR_DEBT,SR_DEBT_PCT,TOTAL_SUB_DEBT,CONVERT,ST_DEBT,ST_DEBT_PCT,LT_DEBT_CAPITAL_LEASES,SR_DEBT_EBITDA,SR_DEBT_EBITDA_CAPEX,TOTAL_SUB_DEBT_EBITDA
NASDAQ:AAPL,AAPL,NASDAQ,Information Technology,2017,2017-12-31,Apple Inc.,11977.0,0.0,0.0,104021.0,0.0,0.0,0.0,115998.0,115998.0,100.2748,0.0,0.0,11977.0,10.3535,97207.0,1.62233,1.9644,0.0
NASDAQ:AAPL,AAPL,NASDAQ,Information Technology,2019,2019-12-31,Apple Inc.,5980.0,0.0,0.0,101679.0,0.0,0.0,0.0,107659.0,107659.0,99.6408,0.0,0.0,5980.0,5.5346,91807.0,1.40773,1.63164,0.0
NASDAQ:AAPL,AAPL,NASDAQ,Information Technology,2020,2020-12-31,Apple Inc.,4996.0,0.0,0.0,106060.69,0.0,9842.0,0.0,120898.69,120898.69,98.87,0.0,0.0,4996.0,4.09,107049.0,1.37,1.5,0.0
NASDAQ:AAPL,AAPL,NASDAQ,Information Technology,2015,2015-12-31,Apple Inc.,8499.0,0.0,0.0,55701.0,0.0,0.0,0.0,64200.0,64200.0,99.7808,0.0,0.0,8499.0,13.2093,53329.0,0.7783,0.90118,0.0
NASDAQ:AAPL,AAPL,NASDAQ,Information Technology,2016,2016-12-31,Apple Inc.,8105.0,0.0,0.0,78384.0,0.0,0.0,0.0,86489.0,86489.0,99.376,0.0,0.0,8105.0,9.3126,75427.0,1.22629,1.49648,0.0
NASDAQ:AAPL,AAPL,NASDAQ,Information Technology,2018,2018-12-31,Apple Inc.,11964.0,0.0,0.0,104521.0,0.0,0.0,0.0,116485.0,116485.0,101.7487,0.0,0.0,11964.0,10.4504,93735.0,1.424,1.70081,0.0
